,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,track_name,artist(s)_name
341,0.7943262411347517,0.0273972602739726,0.13978494623655913,0.19277108433734938,0.967741935483871,0.0,0.18181818181818182,0.016129032258064516,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna
342,0.5460992907801417,0.5616438356164384,0.2903225806451613,0.6987951807228916,0.16129032258064518,0.0,0.1090909090909091,0.04838709677419355,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X
343,0.5602836879432623,0.4657534246575343,0.46236559139784944,0.8433734939759038,0.010752688172043012,0.01098901098901099,0.8909090909090909,0.03225806451612903,"Sex, Drugs, Etc.",Beach Weather
344,0.3900709219858156,0.5753424657534247,0.817204301075269,0.8674698795180723,0.09677419354838711,0.0,0.2909090909090909,0.12903225806451613,Boy With Luv (feat. Halsey),"Halsey, BTS"
345,0.4964539007092198,0.9452054794520548,0.7419354838709679,0.4457831325301205,0.5913978494623656,0.0,0.21818181818181817,0.06451612903225806,"Hey, Mickey!",Baby Tate
346,0.2978723404255319,0.7945205479452055,0.838709677419355,0.7710843373493976,0.40860215053763443,0.0,0.16363636363636364,0.03225806451612903,Calm Down,Rï¿½ï
347,0.2836879432624113,0.8082191780821919,0.6236559139784947,0.7228915662650603,0.10752688172043012,0.0,0.5454545454545454,0.08064516129032258,Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar"
348,0.3049645390070922,0.2876712328767123,0.3655913978494624,0.7590361445783134,0.09677419354838711,0.0,0.1090909090909091,0.29032258064516125,Escapism. - Sped Up,"RAYE, 070 Shake"
349,0.7730496453900709,0.6438356164383561,0.5698924731182796,0.6024096385542169,0.24731182795698928,0.0,0.09090909090909091,0.4838709677419355,Te Felicito,"Shakira, Rauw Alejandro"
350,0.17730496453900713,0.6164383561643836,0.849462365591398,0.6867469879518073,0.03225806451612903,0.0,0.509090909090909,0.0967741935483871,Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui"
351,0.5390070921985816,0.24657534246575347,0.05376344086021506,0.13253012048192772,0.903225806451613,0.01098901098901099,0.19999999999999998,0.03225806451612903,TV,Billie Eilish
352,0.12056737588652477,0.6164383561643836,0.49462365591397855,0.42168674698795183,0.6021505376344086,0.0,0.09090909090909091,0.03225806451612903,I'm Not The Only One,Sam Smith
353,0.1914893617021276,0.32876712328767116,0.22580645161290325,0.3493975903614458,0.6666666666666667,0.0,0.5272727272727272,0.016129032258064516,Heather,Conan Gray
354,0.36170212765957444,0.7397260273972603,0.6559139784946237,0.7951807228915663,0.06451612903225806,0.0,0.21818181818181817,0.03225806451612903,"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani"
355,0.4184397163120567,0.7671232876712328,0.5913978494623657,0.8674698795180723,0.043010752688172046,0.0,0.09090909090909091,0.14516129032258066,One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa"
356,0.42553191489361697,0.6575342465753424,0.849462365591398,0.9036144578313253,0.010752688172043012,0.0,0.2545454545454545,0.1129032258064516,Sugar Rush Ride,TOMORROW X TOGETHER
357,0.12765957446808507,0.3150684931506849,0.3225806451612903,0.6024096385542169,0.33333333333333337,0.0,0.07272727272727272,0.5161290322580645,WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems"
358,0.4184397163120567,0.7671232876712328,0.6881720430107527,0.783132530120482,0.010752688172043012,0.0,0.1272727272727273,0.0967741935483871,Don't Start Now,Dua Lipa
359,0.5319148936170213,0.4794520547945205,0.0,0.5542168674698795,0.07526881720430108,0.45054945054945056,0.09090909090909091,0.016129032258064516,After Dark,Mr.Kitty
