bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,track_name,artist(s)_name
0.42553191489361697,0.7808219178082192,0.913978494623656,0.8313253012048193,0.33333333333333337,0.0,0.09090909090909091,0.03225806451612903,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook"
0.1914893617021276,0.6575342465753424,0.6129032258064517,0.7228915662650603,0.07526881720430108,0.0,0.1272727272727273,0.03225806451612903,LALA,Myke Towers
0.5177304964539007,0.38356164383561636,0.3010752688172043,0.4698795180722892,0.1827956989247312,0.0,0.509090909090909,0.06451612903225806,vampire,Olivia Rodrigo
0.7446808510638298,0.43835616438356156,0.5806451612903226,0.6987951807228916,0.11827956989247312,0.0,0.14545454545454545,0.20967741935483872,Cruel Summer,Taylor Swift
0.5602836879432623,0.5753424657534247,0.20430107526881724,0.7951807228915663,0.15053763440860216,0.6923076923076924,0.14545454545454545,0.06451612903225806,WHERE SHE GOES,Bad Bunny
0.5390070921985816,0.9452054794520548,0.6666666666666667,0.5301204819277109,0.20430107526881722,0.0,0.09090909090909091,0.3548387096774194,Sprinter,"Dave, Central Cee"
0.5886524822695035,0.6027397260273972,0.849462365591398,0.746987951807229,0.5161290322580645,0.0,0.09090909090909091,0.016129032258064516,Ella Baila Sola,"Eslabon Armado, Peso Pluma"
0.24822695035460995,0.6027397260273972,0.23655913978494625,0.6867469879518073,0.39784946236559143,0.0,0.14545454545454545,0.03225806451612903,Columbia,Quevedo
0.46099290780141844,0.8493150684931507,0.1935483870967742,0.5783132530120483,0.12903225806451613,0.0,0.4545454545454545,0.1129032258064516,fukumean,Gunna
0.7446808510638298,0.7945205479452055,0.5591397849462366,0.40963855421686757,0.22580645161290325,0.0,0.09090909090909091,0.5,La Bebe - Remix,"Peso Pluma, Yng Lvcas"
0.12765957446808507,0.4657534246575343,0.5591397849462366,0.6987951807228916,0.24731182795698928,0.0,0.43636363636363634,0.04838709677419355,un x100to,"Bad Bunny, Grupo Frontera"
0.6028368794326241,0.7534246575342465,0.5161290322580646,0.819277108433735,0.19354838709677422,0.0,0.21818181818181817,0.08064516129032258,Super Shy,NewJeans
0.46099290780141844,0.38356164383561636,0.3010752688172043,0.3493975903614458,0.89247311827957,0.0,0.1090909090909091,0.016129032258064516,Daylight,David Kushner
0.7730496453900709,0.3972602739726027,0.6666666666666667,0.710843373493976,0.3655913978494624,0.0,0.509090909090909,0.06451612903225806,As It Was,Harry Styles
0.17021276595744683,0.5616438356164384,0.41935483870967744,0.710843373493976,0.05376344086021506,0.18681318681318682,0.23636363636363636,0.03225806451612903,Kill Bill,SZA
0.3900709219858156,0.7534246575342465,0.7741935483870969,0.5421686746987953,0.4623655913978495,0.0,0.5636363636363636,0.016129032258064516,Cupid - Twin Ver.,Fifty Fifty
0.24822695035460995,0.8630136986301369,0.6774193548387097,0.6265060240963856,0.15053763440860216,0.0,0.16363636363636364,0.22580645161290322,Classy 101,"Feid, Young Miko"
0.3900709219858156,0.547945205479452,0.34408602150537637,0.710843373493976,0.0,0.0,0.6,0.03225806451612903,Like Crazy,Jimin
0.5319148936170213,0.5753424657534247,0.89247311827957,0.7228915662650603,0.23655913978494625,0.0,0.709090909090909,0.03225806451612903,LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma"
0.4113475177304964,0.6301369863013699,0.838709677419355,0.746987951807229,0.06451612903225806,0.0,0.05454545454545454,0.016129032258064516,I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift
0.4822695035460993,0.8493150684931507,0.827956989247312,0.6385542168674699,0.2795698924731183,0.0,0.16363636363636364,0.04838709677419355,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma"
0.24113475177304966,0.8493150684931507,0.849462365591398,0.6506024096385543,0.07526881720430108,0.0,0.6,0.29032258064516125,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti"
0.46099290780141844,0.7671232876712328,0.989247311827957,0.8674698795180723,0.09677419354838711,0.0,0.1090909090909091,0.1129032258064516,SABOR FRESA,Fuerza Regida
0.2978723404255319,0.7808219178082192,0.838709677419355,0.7951807228915663,0.4623655913978495,0.0,0.19999999999999998,0.03225806451612903,Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G"
0.4042553191489362,0.7945205479452055,0.7526881720430109,0.6867469879518073,0.15053763440860216,0.0,0.9636363636363635,0.03225806451612903,MOJABI GHOST,"Tainy, Bad Bunny"
0.9858156028368793,0.3972602739726027,0.5161290322580646,0.6506024096385543,0.49462365591397855,0.0,0.21818181818181817,0.03225806451612903,Last Night,Morgan Wallen
0.3191489361702128,0.6027397260273972,0.7956989247311829,0.855421686746988,0.021505376344086023,0.0,0.5454545454545454,0.04838709677419355,Dance The Night (From Barbie The Album),Dua Lipa
0.43262411347517726,0.6986301369863015,0.33333333333333337,0.8433734939759038,0.0,0.0,0.14545454545454545,0.06451612903225806,Rush,Troye Sivan
0.7304964539007092,0.4520547945205479,0.6344086021505377,0.8795180722891568,0.41935483870967744,0.0,0.14545454545454545,0.04838709677419355,TULUM,"Peso Pluma, Grupo Frontera"
0.23404255319148937,0.6575342465753424,0.13978494623655913,0.5662650602409639,0.38709677419354843,0.0,0.09090909090909091,0.04838709677419355,Creepin',"The Weeknd, 21 Savage, Metro Boomin"
0.22695035460992907,0.5616438356164384,0.5053763440860216,0.5903614457831325,0.12903225806451613,0.0,0.2909090909090909,0.04838709677419355,Anti-Hero,Taylor Swift
