tracks
"Seven (feat. Latto) (Explicit Ver.) (Latto, Jung Kook)"
LALA (Myke Towers)
vampire (Olivia Rodrigo)
Cruel Summer (Taylor Swift)
WHERE SHE GOES (Bad Bunny)
"Sprinter (Dave, Central Cee)"
"Ella Baila Sola (Eslabon Armado, Peso Pluma)"
Columbia (Quevedo)
fukumean (Gunna)
"La Bebe - Remix (Peso Pluma, Yng Lvcas)"
"un x100to (Bad Bunny, Grupo Frontera)"
Super Shy (NewJeans)
Daylight (David Kushner)
As It Was (Harry Styles)
Kill Bill (SZA)
Cupid - Twin Ver. (Fifty Fifty)
"Classy 101 (Feid, Young Miko)"
Like Crazy (Jimin)
"LADY GAGA (Gabito Ballesteros, Junior H, Peso Pluma)"
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The  (Taylor Swift)
"Peso Pluma: Bzrp Music Sessions, Vol. 55 (Bizarrap, Peso Pluma)"
"Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series) (The Weeknd, Madonna, Playboi Carti)"
SABOR FRESA (Fuerza Regida)
"Calm Down (with Selena Gomez) (Rï¿½ï¿½ma, Selena G)"
"MOJABI GHOST (Tainy, Bad Bunny)"
Last Night (Morgan Wallen)
Dance The Night (From Barbie The Album) (Dua Lipa)
Rush (Troye Sivan)
"TULUM (Peso Pluma, Grupo Frontera)"
"Creepin' (The Weeknd, 21 Savage, Metro Boomin)"
Anti-Hero (Taylor Swift)
"TQG (Karol G, Shakira)"
"Frï¿½ï¿½gil (feat. Grupo Front (Yahritza Y Su Esencia, Grupo Frontera)"
Blank Space (Taylor Swift)
Style (Taylor Swift)
TQM (Fuerza Regida)
"El Azul (Junior H, Peso Pluma)"
"Sunflower - Spider-Man: Into the Spider-Verse (Post Malone, Swae Lee)"
"I'm Good (Blue) (Bebe Rexha, David Guetta)"
"See You Again (Tyler, The Creator, Kali Uchis)"
Angels Like You (Miley Cyrus)
Die For You (The Weeknd)
"Starboy (The Weeknd, Daft Punk)"
"Die For You - Remix (Ariana Grande, The Weeknd)"
"El Cielo (Feid, Myke Towers, Sky Rompiendo)"
"Baby Don't Hurt Me (David Guetta, Anne-Marie, Coi Leray)"
AMARGURA (Karol G)
(It Goes Like) Nanana - Edit (Peggy Gou)
Another Love (Tom Odell)
Blinding Lights (The Weeknd)
Moonlight (Kali Uchis)
La Bachata (Manuel Turizo)
"Tï¿½ï¿ (dennis, MC Kevin o Chris)"
"Boy's a liar Pt. 2 (PinkPantheress, Ice Spice)"
"Left and Right (Feat. Jung Kook of BTS) (Charlie Puth, BTS, Jung Kook)"
"BESO (Rauw Alejandro, ROSALï¿½)"
"Hey Mor (Ozuna, Feid)"
Yellow (Chris Molitor)
Karma (Taylor Swift)
People (Libianca)
Overdrive (Post Malone)
Enchanted (Taylor's Version) (Taylor Swift)
"BABY HELLO (Rauw Alejandro, Bizarrap)"
Heat Waves (Glass Animals)
golden hour (JVKE)
Sweater Weather (The Neighbourhood)
"Quevedo: Bzrp Music Sessions, Vol. 52 (Bizarrap, Quevedo)"
Viva La Vida (Coldplay)
Here With Me (d4vd)
"Unholy (feat. Kim Petras) (Sam Smith, Kim Petras)"
"Yandel 150 (Yandel, Feid)"
CORAZï¿½ï¿½N VA (Maria Becerra)
Riptide (Vance Joy)
"Until I Found You (with Em Beihold) - Em Beihold Version (Em Beihold, Stephen Sanchez)"
"Novidade na ï¿½ï¿ (Mc Livinho, DJ Matt D)"
Back To December (Taylor's Version) (Taylor Swift)
"STAY (with Justin Bieber) (Justin Bieber, The Kid Laroi)"
"El Merengue (Marshmello, Manuel Turizo)"
Someone You Loved (Lewis Capaldi)
"Me Porto Bonito (Chencho Corleone, Bad Bunny)"
Makeba (Jain)
"MONTAGEM - FR PUNK (Ayparia, unxbected)"
Fast Car (Luke Combs)
What It Is (Solo Version) (Doechii)
"Coco Chanel (Bad Bunny, Eladio Carrion)"
Donï¿½ï¿½ï¿½t Bl (Taylor Swift)
"All My Life (feat. J. Cole) (J. Cole, Lil Durk)"
Say Yes To Heaven (Lana Del Rey)
Snooze (SZA)
Summertime Sadness (Lana Del Rey)
Take Two (BTS)
Lover (Taylor Swift)
"Too Many Nights (feat. Don Toliver & with Future) (Future, Metro Boomin, Don Toliver)"
Chemical (Post Malone)
Mockingbird (Eminem)
New Jeans (NewJeans)
Primera Cita (Carin Leon)
"Cold Heart - PNAU Remix (Dua Lipa, Elton John, Pnau)"
Dandelions (Ruth B.)
Bones (Imagine Dragons)
Set Fire to the Rain (Adele)
"Money Trees (Kendrick Lamar, Jay Rock)"
Tak Segampang Itu (Anggi Marito)
"LAGUNAS (Jasiel Nuï¿½ï¿½ez, Peso P)"
Mine (Taylor's Version) (Taylor Swift)
Everybody Wants To Rule The World (Tears For Fears)
No Role Modelz (J. Cole)
Tattoo (Loreen)
"Rara Vez (Taiu, Milo j)"
"VAGABUNDO (Sebastian Yatra, Manuel Turizo, Beï¿½ï)"
august (Taylor Swift)
"LUNA (Junior H, Peso Pluma)"
"Miracle (with Ellie Goulding) (Calvin Harris, Ellie Goulding)"
Nonsense (Sabrina Carpenter)
"Que Vuelvas (Carin Leon, Grupo Frontera)"
Feliz Cumpleaï¿½ï¿½os Fe (Feid)
"Can't Hold Us (feat. Ray Dalton) (Ray Dalton, Ryan Lewis, Macklemore)"
"lovely - Bonus Track (Billie Eilish, Khalid)"
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56 (Rauw Alejandro, Bizarrap)"
Queencard ((G)I-DLE)
OMG (NewJeans)
Radio (Lana Del Rey)
"Shakira: Bzrp Music Sessions, Vol. 53 (Shakira, Bizarrap)"
"Trance (with Travis Scott & Young Thug) (Travis Scott, Young Thug, Metro Boomin)"
"Tere Vaaste (From ""Zara Hatke Zara Bachke"") (Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain)"
Perfect (Ed Sheeran)
Romantic Homicide (d4vd)
Believer (Imagine Dragons)
"Novo Balanï¿½ (Veigh, Bvga Beatz, Supernova Ent, Prod Malax)"
"Gol Bolinha, Gol Quadrado 2 (Mc Pedrinho, DJ 900)"
Without Me (Eminem)
"Stargirl Interlude (The Weeknd, Lana Del Rey)"
"Ojitos Lindos (Bomba Estï¿½ï¿½reo, Bad B)"
Somewhere Only We Know (Keane)
Those Eyes (New West)
El Gordo Trae El Mando (Chino Pacas)
Mi Bello Angel (Natanael Cano)
"Nosso Quadro (Ana Castela, AgroPlay)"
Locked Out Of Heaven (Bruno Mars)
"Un Finde | CROSSOVER #2 (Big One, FMK, Ke personajes)"
Counting Stars (OneRepublic)
Ghost (Justin Bieber)
Under The Influence (Chris Brown)
"PRC (Natanael Cano, Peso Pluma)"
"One Dance (Drake, WizKid, Kyla)"
Enchanted (Taylor Swift)
Sure Thing (Miguel)
Every Breath You Take - Remastered 2003 (The Police)
"We Found Love (Rihanna, Calvin Harris)"
Let Me Down Slowly (Alec Benjamin)
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee) (A$AP Rocky, Metro Boomin, Roisee)"
Do I Wanna Know? (Arctic Monkeys)
Demons (Imagine Dragons)
ýýýýýýýýýýýý (YOASOBI)
Reminder (The Weeknd)
Shake It Off (Taylor Swift)
Why'd You Only Call Me When You're High? (Arctic Monkeys)
Shape of You (Ed Sheeran)
Night Changes (One Direction)
Creep (Radiohead)
Car's Outside (James Arthur)
Apocalypse (Cigarettes After Sex)
Cheques (Shubh)
Pink + White (Frank Ocean)
Just The Way You Are (Bruno Mars)
Take Me To Church (Hozier)
"Bebe Dame (Fuerza Regida, Grupo Frontera)"
